northing,easting,down
5735816.886,620074.4829,-63.6228
5735816.886,620074.4829,-63.6228
5735816.886,620074.4829,-63.6228
5735816.886,620074.4829,-63.6228
5735816.886,620074.4829,-63.6228
5735816.886,620074.4829,-63.6228
5735816.886,620074.4829,-63.6228
5735816.886,620074.4829,-63.6228
5735816.886,620074.4829,-63.6228
5735816.886,620074.4829,-63.6228
5735816.886,620074.4829,-63.6228
5735816.886,620074.4829,-63.6228
5735816.886,620074.4829,-63.6228
5735816.886,620074.4829,-63.6228
5735816.886,620074.4829,-63.6228
5735816.886,620074.4829,-63.6228
5735816.886,620074.4829,-63.6228
5735816.886,620074.4829,-63.6228
5735816.886,620074.4829,-63.6228
5735816.886,620074.4829,-63.6228
5735816.886,620074.4829,-63.6228
5735816.886,620074.4829,-63.6228
5735816.886,620074.4829,-63.6228
5735816.886,620074.4829,-63.6228
5735816.886,620074.4829,-63.6228
5735816.886,620074.4829,-63.6228
5735816.886,620074.4829,-63.6228
5735816.886,620074.4829,-63.6228
5735816.886,620074.4829,-63.6228
5735816.886,620074.4829,-63.6228
5735816.886,620074.4829,-63.6228
5735816.886,620074.4829,-63.6228
5735816.886,620074.4829,-63.6228
5735816.886,620074.4829,-63.6228
5735816.886,620074.4829,-63.6228
5735816.886,620074.4829,-63.6228
5735816.886,620074.4829,-63.6228
5735816.886,620074.4829,-63.6228
5735816.886,620074.4829,-63.6228
5735816.886,620074.4829,-63.6228
5735816.886,620074.4829,-63.6228
5735816.886,620074.4829,-63.6228
5735816.886,620074.4829,-63.6228
5735816.886,620074.4829,-63.6228
5735816.886,620074.4829,-63.6228
5735816.886,620074.4829,-63.6228
5735816.886,620074.4829,-63.6228
5735816.886,620074.4829,-63.6228
5735816.886,620074.4829,-63.6228
5735816.886,620074.4829,-63.6228
5735816.886,620074.4829,-63.6228
5735816.886,620074.4829,-63.6228
5735816.886,620074.4829,-63.6228
5735902.33,620065.7055,-66.3838
5735903.844,620066.0009,-66.3313
5735905.371,620066.3767,-65.8296
5735905.371,620066.3767,-65.8296
5735908.253,620066.5508,-67.5643
5735908.253,620066.5508,-67.5643
5735908.253,620066.5508,-67.5643
5735908.253,620066.5508,-67.5643
5735908.253,620066.5508,-67.5643
5735908.253,620066.5508,-67.5643
5735908.253,620066.5508,-67.5643
5735908.253,620066.5508,-67.5643
5735916.837,620067.2668,-64.0655
5735917.179,620067.255,-64.0942
5735919.508,620068.8856,-57.2725
5735919.508,620068.8856,-57.2725
5735919.508,620068.8856,-57.2725
5735919.508,620068.8856,-57.2725
5735919.508,620068.8856,-57.2725
5735919.508,620068.8856,-57.2725
5735919.508,620068.8856,-57.2725
5735919.508,620068.8856,-57.2725
5735921.72,620064.8543,-66.6917
5735922.383,620064.753,-67.0798
5735922.514,620064.4717,-66.5151
5735923.823,620065.3267,-63.2902
5735923.144,620064.2436,-64.9358
5735923.293,620063.707,-66.8146
5735923.547,620063.6877,-66.8528
5735925.75,620065.0564,-62.9764
5735925.617,620065.027,-60.1197
5735926.446,620065.1439,-61.355
5735926.172,620064.5716,-61.5591
5735927.558,620065.5453,-59.5913
5735927.299,620064.6563,-62.2353
5735927.245,620064.2285,-63.1212
5735927.103,620063.8359,-63.0748
5735927.676,620063.8485,-63.2172
5735928.579,620064.2848,-62.4082
5735928.95,620064.0964,-63.3048
5735929.759,620064.5491,-62.3096
5735929.131,620063.671,-64.3207
5735929.153,620063.5552,-64.3185
5735929.513,620063.6676,-64.135
5735929.678,620063.6759,-63.6392
5735930.132,620063.7635,-64.1981
5735930.285,620063.6107,-64.9722
5735930.825,620064.0177,-63.5375
5735930.615,620063.5682,-64.4804
5735930.745,620063.5382,-65.148
5735930.852,620063.4702,-65.3111
5735930.785,620063.286,-65.9561
5735930.798,620063.1677,-66.3516
5735931.204,620063.2631,-66.8139
5735931.649,620063.5215,-66.5463
5735931.617,620063.5099,-66.2338
5735931.948,620063.7051,-66.1422
5735932.179,620063.7724,-65.5952
5735932.342,620063.8269,-65.731
5735932.162,620063.4629,-65.8298
5735932,620063.2551,-66.2472
5735932.087,620063.5982,-65.7677
5735931.897,620063.5925,-66.4643
5735932.231,620064.1666,-66.2708
5735932.201,620064.4818,-66.8038
5735932.326,620063.7634,-65.621
5735932.459,620064.2466,-65.2691
5735932.837,620063.9826,-63.7529
5735933.219,620063.3676,-62.4747
5735933.073,620063.5444,-63.1404
5735933.031,620063.8962,-63.353
5735932.907,620064.235,-63.5685
5735933.043,620064.2788,-63.3841
5735932.987,620064.2834,-63.5275
5735932.8,620064.0607,-64.008
5735933.005,620063.4456,-62.2026
5735932.738,620064.2691,-63.8442
5735932.726,620064.2807,-63.5086
5735932.645,620064.2071,-63.4702
5735932.764,620064.2975,-63.4342
5735932.799,620064.3176,-63.651
5735932.841,620064.3316,-63.6156
5735932.795,620064.2952,-63.7677
5735932.652,620064.19,-63.9908
5735932.593,620064.1318,-64.1052
5735932.584,620064.11,-64.1383
5735932.567,620064.0735,-64.0919
5735932.62,620063.9903,-63.7278
5735932.615,620064.0303,-63.9975
5735932.606,620063.9915,-64.1076
5735932.676,620064.0324,-64.3155
5735932.591,620063.8602,-64.4414
5735932.616,620063.9336,-64.6429
5735932.766,620063.5829,-63.9584
5735932.582,620064.2209,-65.6209
5735932.97,620063.436,-63.4939
5735932.872,620063.4613,-63.5578
5735933.144,620063.4096,-62.8489
5735933.237,620063.3783,-62.7628
5735933.3,620063.064,-62.16
5735933.137,620063.3169,-62.7863
5735933.246,620062.8448,-62.1553
5735932.854,620063.7106,-64.696
5735933.054,620063.8654,-64.5333
5735933.405,620063.1025,-62.7838
5735933.223,620063.4672,-63.9988
5735933.401,620062.8335,-62.8557
5735933.512,620062.7837,-62.2949
5735933.447,620062.899,-62.4191
5735933.428,620062.9585,-62.5434
5735933.376,620063.097,-63.0375
5735933.597,620062.6355,-61.5924
5735933.402,620063.0332,-62.6493
5735933.393,620062.958,-62.2477
5735933.296,620062.9981,-62.9524
5735933.467,620062.7533,-62.1324
5735932.891,620064.0634,-65.2608
5735932.852,620064.0419,-65.1814
5735932.868,620064.0598,-65.2167
5735932.739,620063.9602,-65.3915
5735932.736,620063.8671,-65.6884
5735932.758,620063.9145,-65.579
5735932.798,620063.9689,-65.5614
5735932.842,620063.9838,-65.65
5735932.871,620064.0194,-65.622
5735932.932,620064.0578,-65.5172
5735932.886,620064.0475,-65.4422
5735932.885,620064.0434,-65.571
5735932.915,620064.0886,-65.552
5735932.922,620064.0813,-65.7495
5735932.896,620064.0547,-65.6633
5735932.885,620064.0636,-65.5826
5735932.846,620064.0038,-65.6703
5735932.863,620064.0731,-65.4659
5735932.813,620064.0752,-65.333
5735932.875,620064.1294,-65.2954
5735932.903,620064.1581,-65.3899
5735932.924,620064.1691,-65.4688
5735932.891,620064.1565,-65.6344
5735932.986,620064.255,-65.425
5735932.912,620064.2247,-65.3988
5735932.845,620064.1878,-65.3286
5735932.812,620064.1414,-65.3879
5735932.762,620064.0829,-65.379
5735932.804,620064.0804,-65.3898
5735932.809,620064.1065,-65.3535
5735932.739,620064.0778,-65.2803
5735932.692,620064.0716,-65.1948
5735932.602,620064.0223,-65.2863
5735932.552,620064.0045,-65.3866
5735932.494,620064.002,-65.328
5735932.565,620064.074,-65.2207
5735932.581,620064.074,-65.3025
5735932.589,620064.0459,-65.4109
5735932.607,620064.0192,-65.6024
5735932.612,620064.0606,-65.5269
5735932.499,620063.958,-65.7047
5735932.429,620063.9464,-65.6243
5735932.408,620063.9271,-65.6832
5735932.298,620063.8661,-65.6466
5735932.305,620063.8379,-65.7222
5735932.267,620063.8738,-65.6624
5735932.232,620063.9002,-65.5204
5735932.316,620063.9372,-65.492
5735932.316,620063.9392,-65.428
5735932.367,620063.995,-65.4801
5735932.346,620063.9958,-65.409
5735932.341,620063.9943,-65.2902
5735932.297,620063.9917,-65.3111
5735932.251,620063.9774,-65.2376
5735932.205,620063.9706,-65.1739
5735932.157,620063.9864,-65.0602
5735932.191,620063.9877,-65.0628
5735932.242,620064.0286,-64.949
5735932.27,620064.0141,-64.9691
5735932.218,620063.981,-64.9598
5735932.211,620063.9995,-64.8365
5735932.264,620064.0538,-64.8113
5735932.296,620064.0853,-64.7946
5735932.263,620064.0787,-64.7538
5735932.238,620064.0922,-64.6746
5735932.246,620064.0999,-64.7876
5735932.251,620064.149,-64.6789
5735932.303,620064.1824,-64.6052
5735932.234,620064.1814,-64.5774
5735932.221,620064.1774,-64.5275
5735932.226,620064.2078,-64.4911
5735932.231,620064.2239,-64.4106
5735932.147,620064.1942,-64.2321
5735932.084,620064.1761,-64.1971
5735932.035,620064.1597,-64.125
5735932.036,620064.1565,-64.0651
5735932.061,620064.1598,-64.0943
5735932.121,620064.1788,-64.0634
5735932.124,620064.1367,-64.0851
5735932.129,620064.0916,-64.0857
5735932.194,620064.0978,-64.0025
5735932.305,620064.0881,-63.9667
5735932.375,620064.0255,-64.0437
5735932.538,620064.0658,-63.8985
5735932.638,620064.0408,-63.893
5735932.787,620064.0616,-63.7431
5735932.914,620064.0885,-63.7325
5735933.028,620064.105,-63.6281
5735933.13,620064.1489,-63.3941
5735933.175,620064.1412,-63.3946
5735933.175,620064.1412,-63.3946
5735933.175,620064.1412,-63.3946
5735933.175,620064.1412,-63.3946
5735933.175,620064.1412,-63.3946
5735933.175,620064.1412,-63.3946
5735933.175,620064.1412,-63.3946
5735933.175,620064.1412,-63.3946
5735933.175,620064.1412,-63.3946
5735933.175,620064.1412,-63.3946
5735931.09,620061.7278,-69.5494
5735931.442,620062.0904,-68.6757
5735932.616,620063.2823,-65.6976
5735933.399,620064.0816,-63.6434
5735933.97,620064.6614,-62.1503
5735933.709,620064.3732,-62.8489
5735934.032,620064.711,-61.9725
5735935.2,620065.9036,-59.0709
5735933.62,620064.3228,-63.1398
5735933.675,620064.355,-63.1521
5735933.019,620063.6892,-64.9268
5735933.58,620064.2581,-63.5403
5735933.529,620064.2343,-63.5766
5735933.357,620064.016,-64.1328
5735932.984,620063.6451,-65.101
5735933.389,620064.0147,-64.1196
5735933.523,620064.1104,-63.8672
5735933.533,620064.142,-63.7218
5735933.918,620064.5257,-62.7846
5735933.638,620064.2254,-63.3912
5735933.325,620063.9463,-64.118
5735933.217,620063.8219,-64.4324
5735933.301,620063.8972,-64.2747
5735933.5,620064.1082,-63.7854
5735933.314,620063.9205,-64.2498
5735933.282,620063.8895,-64.3429
5735933.253,620063.858,-64.3701
5735933.465,620064.1358,-63.8306
5735933.337,620064.0425,-64.2913
5735933.722,620064.3046,-63.1723
5735933.605,620064.203,-63.3937
5735933.454,620064.1433,-63.8378
5735933.492,620064.6233,-64.2089
5735934.154,620064.312,-61.743
5735933.583,620064.467,-64.0057
5735933.501,620063.2467,-63.2925
5735932.929,620063.6726,-65.5637
5735932.812,620063.4783,-65.8347
5735932.818,620063.8248,-66.3514
5735932.72,620064.4845,-67.5412
5735932.936,620064.5752,-67.4363
5735933.862,620063.8185,-64.4091
5735934.196,620063.9186,-64.033
5735934.446,620063.8927,-63.9798
5735934.384,620063.5411,-64.7786
5735934.766,620063.7462,-64.2061
5735935.58,620063.9953,-63.5425
5735936.01,620064.0469,-63.3766
5735936.465,620064.1067,-63.0453
5735936.912,620064.109,-62.8409
5735937.288,620064.075,-62.7761
5735937.674,620063.9973,-62.8507
5735938.194,620064.0235,-62.6192
5735938.738,620064.0552,-62.5027
5735939.237,620064.0403,-62.4421
5735939.653,620063.9042,-62.6861
5735940.19,620063.8688,-62.5364
5735940.729,620063.8411,-62.4776
5735941.278,620063.763,-62.565
5735941.953,620063.6171,-62.4625
5735942.541,620063.4046,-62.6274
5735942.42,620063.0138,-63.6138
5735942.42,620063.0138,-63.6138
5735942.42,620063.0138,-63.6138
5735942.42,620063.0138,-63.6138
5735942.42,620063.0138,-63.6138
5735942.42,620063.0138,-63.6138
5735942.42,620063.0138,-63.6138
5735942.42,620063.0138,-63.6138
5735942.42,620063.0138,-63.6138
5735942.42,620063.0138,-63.6138
