northing,easting,down,roll,pitch,yaw
5735830.290927,620072.318447,-111.451209,0.012278,-0.006938,6.239075
5735830.465823,620072.303641,-111.45226,0.012353,-0.00681,6.239256
5735830.640612,620072.288976,-111.453525,0.012508,-0.00681,6.239359
5735830.815402,620072.274379,-111.454628,0.012671,-0.006649,6.239416
5735830.989973,620072.259926,-111.455451,0.012981,-0.006261,6.239467
5735831.164325,620072.245617,-111.456346,0.013082,-0.005929,6.239513
5735831.338788,620072.231304,-111.457432,0.012972,-0.005806,6.239573
5735831.513031,620072.217066,-111.458616,0.012546,-0.005721,6.239638
5735831.68716,620072.202762,-111.459697,0.012087,-0.005647,6.239738
5735831.861175,620072.188322,-111.460739,0.011696,-0.005609,6.239869
5735832.035079,620072.173885,-111.461767,0.011498,-0.005645,6.239997
5735832.208868,620072.159313,-111.46277,0.011397,-0.005753,6.240138
5735832.382547,620072.144743,-111.463745,0.011404,-0.005901,6.240279
5735832.556004,620072.130247,-111.464745,0.011496,-0.00616,6.240355
5735832.729461,620072.115752,-111.465789,0.011757,-0.006439,6.24042
5735832.902809,620072.101328,-111.466986,0.01202,-0.006824,6.240491
5735833.075936,620072.086978,-111.468364,0.012205,-0.0073,6.240533
5735833.249065,620072.072698,-111.469879,0.012329,-0.007886,6.240573
5735833.421971,620072.058423,-111.471408,0.01236,-0.008337,6.240616
5735833.594766,620072.04415,-111.473025,0.012376,-0.008825,6.240673
5735833.767452,620072.029949,-111.474709,0.01235,-0.009297,6.240721
5735833.940137,620072.015748,-111.476264,0.012157,-0.009629,6.240769
5735834.1126,620072.001553,-111.477581,0.011941,-0.009852,6.240817
5735834.284952,620071.98736,-111.478781,0.011574,-0.009967,6.240847
5735834.457304,620071.973167,-111.479967,0.011296,-0.01009,6.240871
5735834.629432,620071.95891,-111.481045,0.011165,-0.010091,6.240874
5735834.801447,620071.944587,-111.481943,0.011151,-0.010073,6.240872
5735834.973462,620071.930265,-111.482709,0.011281,-0.010053,6.240877
5735835.145256,620071.916016,-111.483383,0.011498,-0.010112,6.240865
5735835.317048,620071.901698,-111.483911,0.011703,-0.010104,6.240856
5735835.488731,620071.887452,-111.484274,0.011807,-0.010065,6.240851
5735835.660192,620071.873212,-111.484525,0.011876,-0.009934,6.240842
5735835.833585,620071.865346,-111.478952,0.01196,-0.009746,6.240825
5735836.004938,620071.851246,-111.479131,0.012085,-0.009629,6.240793
5735836.176179,620071.837149,-111.479375,0.012316,-0.009611,6.240763
5735836.347198,620071.823057,-111.479758,0.012533,-0.009683,6.240706
5735836.518219,620071.809034,-111.480306,0.01281,-0.009878,6.240637
5735836.689128,620071.795013,-111.480989,0.013002,-0.010264,6.240573
5735836.859925,620071.780927,-111.481755,0.013237,-0.010751,6.24054
5735837.03061,620071.766842,-111.482593,0.013462,-0.011339,6.240505
5735837.201185,620071.752761,-111.483491,0.013755,-0.012011,6.240491
5735837.371646,620071.738613,-111.484375,0.013981,-0.012668,6.240513
5735837.541996,620071.724468,-111.485065,0.014161,-0.013138,6.240523
5735837.712348,620071.710392,-111.485509,0.014397,-0.013444,6.240506
5735837.882476,620071.696252,-111.485772,0.014527,-0.013606,6.240484
5735838.052605,620071.682181,-111.485987,0.014648,-0.013792,6.24044
5735838.222512,620071.668116,-111.486287,0.014651,-0.013912,6.240368
5735838.392308,620071.654053,-111.486728,0.014775,-0.014059,6.240283
5735838.562105,620071.640059,-111.487181,0.014963,-0.014053,6.240166
5735838.73179,620071.625999,-111.487453,0.015243,-0.013855,6.240078
5735838.90125,620071.611875,-111.487568,0.015532,-0.013453,6.239997
5735839.070711,620071.597751,-111.4876,0.015937,-0.013036,6.23992
5735839.240058,620071.583561,-111.487482,0.016463,-0.012493,6.239876
5735839.409408,620071.569439,-111.487081,0.017009,-0.011797,6.23983
5735839.578535,620071.555323,-111.486501,0.017466,-0.01099,6.239776
5735839.747554,620071.541348,-111.485833,0.017857,-0.010207,6.239706
5735839.916573,620071.527373,-111.485141,0.017961,-0.009399,6.239633
5735840.085367,620071.513334,-111.484538,0.017981,-0.008743,6.23959
5735840.254162,620071.499295,-111.484229,0.017839,-0.0083,6.239543
5735840.422733,620071.485192,-111.484206,0.01776,-0.008089,6.23951
5735840.591302,620071.471021,-111.484219,0.017902,-0.007873,6.239494
5735840.759757,620071.456714,-111.484171,0.018199,-0.007698,6.239476
5735840.927989,620071.442412,-111.484173,0.01866,-0.00752,6.239433
5735841.096111,620071.428113,-111.484446,0.019144,-0.007421,6.239368
5735841.26412,620071.413816,-111.485065,0.019699,-0.007442,6.239298
5735841.432021,620071.399591,-111.485982,0.020022,-0.007621,6.239242
5735841.59981,620071.385369,-111.48712,0.020265,-0.00782,6.239147
5735841.767601,620071.371216,-111.488338,0.020426,-0.00808,6.239036
5735841.935171,620071.357137,-111.489592,0.020555,-0.008352,6.238931
5735842.102628,620071.342992,-111.49093,0.020771,-0.008654,6.238809
5735842.269974,620071.32885,-111.49242,0.020827,-0.009005,6.238706
5735842.437209,620071.31471,-111.493964,0.020628,-0.00935,6.238605
5735842.604332,620071.300573,-111.49541,0.020385,-0.009698,6.238486
5735842.771456,620071.286435,-111.496618,0.02026,-0.009885,6.23837
5735842.938353,620071.272166,-111.497619,0.020325,-0.010056,6.238292
5735843.105138,620071.257829,-111.49851,0.020397,-0.010118,6.238216
5735843.271923,620071.243493,-111.499316,0.020378,-0.010097,6.238153
5735843.438483,620071.229024,-111.500019,0.020336,-0.010044,6.2381
