timestamp,ins_status,latitude,longitude,altitude,northing,easting,down,utm_zone,velocity_north,velocity_east,velocity_down,roll,pitch,yaw
1403713563274004,INS_SOLUTION_GOOD,51.760476,-1.260171,111.451209,5735830.290927,620072.318447,-111.451209,30U,8.761535,-0.537506,-0.047734,0.012278,-0.006938,6.239075
1403713563293516,INS_SOLUTION_GOOD,51.760478,-1.260171,111.452260,5735830.465823,620072.303641,-111.452260,30U,8.759921,-0.529323,-0.060075,0.012353,-0.006810,6.239256
1403713563313597,INS_SOLUTION_GOOD,51.760479,-1.260171,111.453525,5735830.640612,620072.288976,-111.453525,30U,8.755208,-0.521223,-0.061887,0.012508,-0.006810,6.239359
1403713563334021,INS_SOLUTION_GOOD,51.760481,-1.260172,111.454628,5735830.815402,620072.274379,-111.454628,30U,8.750967,-0.515920,-0.047132,0.012671,-0.006649,6.239416
1403713563353393,INS_SOLUTION_GOOD,51.760482,-1.260172,111.455451,5735830.989973,620072.259926,-111.455451,30U,8.740466,-0.512194,-0.039343,0.012981,-0.006261,6.239467
1403713563373400,INS_SOLUTION_GOOD,51.760484,-1.260172,111.456346,5735831.164325,620072.245617,-111.456346,30U,8.737836,-0.507454,-0.047875,0.013082,-0.005929,6.239513
1403713563393400,INS_SOLUTION_GOOD,51.760486,-1.260172,111.457432,5735831.338788,620072.231304,-111.457432,30U,8.732432,-0.506497,-0.059162,0.012972,-0.005806,6.239573
1403713563413398,INS_SOLUTION_GOOD,51.760487,-1.260172,111.458616,5735831.513031,620072.217066,-111.458616,30U,8.725558,-0.503936,-0.056720,0.012546,-0.005721,6.239638
1403713563434349,INS_SOLUTION_GOOD,51.760489,-1.260172,111.459697,5735831.687160,620072.202762,-111.459697,30U,8.721489,-0.511151,-0.051667,0.012087,-0.005647,6.239738
1403713563454339,INS_SOLUTION_GOOD,51.760490,-1.260172,111.460739,5735831.861175,620072.188322,-111.460739,30U,8.713631,-0.515388,-0.052510,0.011696,-0.005609,6.239869
1403713563473530,INS_SOLUTION_GOOD,51.760492,-1.260173,111.461767,5735832.035079,620072.173885,-111.461767,30U,8.710045,-0.517973,-0.049016,0.011498,-0.005645,6.239997
1403713563493276,INS_SOLUTION_GOOD,51.760493,-1.260173,111.462770,5735832.208868,620072.159313,-111.462770,30U,8.700818,-0.521427,-0.049741,0.011397,-0.005753,6.240138
1403713563513619,INS_SOLUTION_GOOD,51.760495,-1.260173,111.463745,5735832.382547,620072.144743,-111.463745,30U,8.697330,-0.519689,-0.048246,0.011404,-0.005901,6.240279
