x,y,z,roll,pitch,yaw
5638.7,-137.9527,-266.2081,7.732189,-18.43985,2.6576239999999998
5482.184,-53.25297,-333.9217,5.261347,-11.11196,2.9405419999999998
5668.286999999999,-211.44719999999998,-438.23769999999996,-2.063791,-8.011815,8.4277
5440.316,-25.65637,-342.838,7.697912,6.9472760000000005,-1.113014
5420.665,-25.634590000000003,-335.38829999999996,13.27909,19.34277,-0.6019927
5511.717000000001,-18.38073,-311.0752,5.697827,24.606900000000003,0.1374208
5435.5419999999995,-30.98433,-294.4123,-2.978404,10.26547,1.289505
5371.378,-16.054299999999998,-299.42719999999997,11.45807,3.2969549999999996,-0.5396317
5395.394,-42.85543,-295.42,9.750884,-4.225755,-1.18031
5361.320000000001,-7.886704,-302.4409,4.9260530000000005,-8.831543,-3.125445
5362.927,-29.342840000000002,-319.2871,-4.7573929999999995,-10.88711,-1.795733
5350.085,-30.404899999999998,-323.1734,0.6533030999999999,-4.417697,-1.443213
5305.094999999999,-27.52655,-314.8389,0.7457415000000001,-0.04834489,-0.7369712
5312.343000000001,-38.33633,-314.3289,-1.9283519999999998,-7.261668,-0.9850576000000001
5353.377,-41.29282,-299.7638,-3.409547,-7.191553,-2.316846
5316.429,-20.48847,-311.902,11.01158,-9.673701,-3.004244
5328.05,-29.15453,-297.1545,1.030876,-8.416461,-2.590254
5315.474,-75.6239,-289.688,-23.45055,-17.68207,0.23162370000000002
5343.871999999999,-11.192459999999999,-316.1873,-3.719212,-5.122517,-0.7770829
5317.323,-42.941129999999994,-325.06769999999995,-0.44298000000000004,11.27632,1.019973
5284.917,-29.31215,-322.2556,13.32187,23.43947,-1.408308
5228.98,-39.240179999999995,-324.23760000000004,-2.457855,15.645299999999999,-2.554709
5240.982,-50.538700000000006,-269.9048,-11.05144,16.474420000000002,0.5388158000000001
5227.885,-23.187640000000002,-265.78790000000004,-0.6610465,2.588981,3.34286
5284.352,-10.9785,-253.41019999999997,-5.762531,-12.00809,1.215585
5200.035,-47.66843,-304.0495,-7.0678030000000005,-21.188679999999998,-1.543313
5259.244,-49.713300000000004,-291.2304,-9.794751999999999,-11.45322,-0.7247112
5277.852,-52.331419999999994,-313.4835,-5.196027,-6.699504999999999,0.2382401
5214.048,-44.683,-288.17760000000004,-11.50566,-3.35895,0.1827728
5266.482,-53.275800000000004,-283.5767,-17.96366,-3.910423,1.776221
5174.339,-43.335350000000005,-299.1963,2.403851,5.808081,0.1061416
5163.905,-36.46669,-304.0952,7.282057,8.5455,-1.90359
5141.262,-36.69749,-306.4258,5.670423,7.978019,-4.355214999999999
5173.797,-27.44916,-291.3773,7.962897,9.587795,-5.080717000000001
5073.656,-44.26464,-292.5708,-4.723316,8.122398,-3.7629930000000003
5076.864,-40.16449,-291.3161,8.01099,5.271609000000001,-2.919318
5115.501,-28.415860000000002,-293.6317,15.054879999999999,-3.7226890000000004,-3.523799
5091.646,-44.78524,-296.8643,-3.2578639999999996,-9.242122,-1.973228
5098.744,-49.83925,-297.3637,-2.497802,-9.094252000000001,-1.444207
5151.35,-52.70415,-284.47,-8.659714000000001,-3.4026739999999998,-1.839183
5083.028,-62.05379,-298.1494,8.065583,0.8190961000000001,-1.621367
5086.962,-25.35081,-294.4975,12.919540000000001,0.9749967,-4.0465409999999995
5053.885,-47.810320000000004,-286.1037,-5.1391230000000006,2.376027,-2.7700419999999997
5045.472,-35.9165,-283.6701,-4.972957999999999,6.67554,-2.085125
5005.312,-39.29916,-293.9142,-1.094689,4.139474,-1.072402
5016.705999999999,-40.007239999999996,-282.98,5.403943999999999,3.969521,-1.1075139999999999
4993.602,-34.59503,-281.2398,5.3281909999999995,-1.745932,-2.542625
5003.3589999999995,-26.82386,-279.4846,-2.976157,-5.349037,-2.953573
5050.245,-41.232910000000004,-264.0298,-0.7857548000000001,-6.172130999999999,-0.3387763
5074.982999999999,-13.08592,-282.6224,3.302731,-3.650296,-1.6933310000000001
4988.522,-31.7399,-285.1712,11.31434,-0.4838542,-2.8488219999999997
4873.696,-26.22062,-296.2976,5.764453,-4.166658,-4.212718
4934.208,-28.871119999999998,-276.4382,0.4610657,-10.64391,-5.911461
4942.989,-34.86882,-284.8442,8.725182,-10.7205,-5.880736000000001
4856.5380000000005,-12.05677,-289.0922,18.60368,-7.207493,-4.791383
4845.156,-62.30753,-285.99179999999996,-1.8115739999999998,-12.90731,-3.104013
4770.326,-32.33611,-250.18959999999998,-3.5467639999999996,-21.13449,-2.896381
4726.697,-75.37663,-273.4258,-32.12479,-18.40609,-0.17968040000000002
4745.357,-37.03964,-284.8182,-19.24037,4.148778,-0.8751988999999999
4650.226,-40.01516,-307.39209999999997,4.549453,26.646130000000003,-3.315474
4567.495,-11.80265,-326.2482,12.05468,33.284690000000005,-7.625330999999999
4565.702,-36.08807,-300.5395,-19.34447,33.70169,-2.5736809999999997
4513.969,-19.39533,-276.36089999999996,5.130194,29.84309,0.2089909
4492.412,-34.26974,-232.2234,-9.604365,15.243699999999999,3.366296
4516.791,-38.61475,-212.8766,-8.895738,-8.58183,-0.7262015
4493.689,-58.33274,-220.12609999999998,-15.84118,-29.929560000000002,-3.283173
4450.798000000001,-36.84818,-264.9671,8.864104000000001,-22.17643,-1.169961
4418.289000000001,-11.88155,-289.9961,20.74568,-9.757193,-1.643881
4391.401,10.86919,-298.1483,27.2003,-4.423692,-6.914506
4337.318,-19.89873,-278.9278,9.036055,-0.3726314,-9.650785
4306.544,-4.322115,-269.516,12.557289999999998,6.318585,-8.185519000000001
4254.741,-39.437270000000005,-251.9367,0.7729474000000001,15.122440000000001,-2.226502
4255.806,-42.29916,-237.7447,-6.0970640000000005,1.6257110000000001,-1.149262
4249.473,-42.26185,-240.874,-8.97185,-11.16788,-4.472263
4235.954,-36.31803,-248.7365,-7.614497,-11.63562,-5.238905
4198.803,-28.26689,-248.8373,-6.770653,-5.432367999999999,-1.814021
4179.804,-24.45601,-247.3644,-8.537863999999999,-6.361092,-0.6702091
4151.26,-24.23139,-242.9206,-8.721066,-10.01107,-2.381045
4165.331,-2.146099,-254.14260000000002,6.117329,3.407742,-4.180532
4104.563,-15.41677,-276.5473,11.39888,16.22772,-2.9115
4067.612,-14.99655,-272.4853,8.206811,17.18177,-2.513866
4056.18,-12.81952,-241.86860000000001,-1.786496,10.23323,-3.085446
4018.383,-25.36698,-229.0169,-5.047727999999999,3.651422,-6.0541160000000005
4032.3360000000002,-42.29557,-214.1585,-11.090810000000001,12.07798,-6.184524000000001
3978.622,-66.2603,-227.921,-17.68133,5.636884,-4.614086
3987.208,-57.175230000000006,-209.23850000000002,-4.232072,-7.074267,-3.654229
3988.218,-32.55344,-224.9293,-2.284442,-15.49579,-4.242661
3958.1090000000004,-27.32739,-226.7601,-3.6130489999999997,-15.824229999999998,-4.829165000000001
3934.347,-35.73579,-226.2362,-7.937133,-10.930589999999999,-4.299599
3893.068,-22.497760000000003,-239.3039,7.0319709999999995,-9.102011,-2.433057
3906.6600000000003,-26.583029999999997,-225.612,1.7757649999999998,-10.0695,-1.40076
3878.899,-22.47429,-217.428,-10.41425,-3.404776,-1.208353
3948.236,-19.86156,-212.9222,-7.56248,-0.6506396999999999,-3.705169
3837.673,-77.2309,-217.2244,-2.493099,-2.536017,-4.624584
3840.855,-75.89384,-216.36010000000002,-15.11454,-5.36102,-3.61006
3864.632,-44.54331,-213.9703,-0.5198001,2.106286,-1.97824
3845.099,-40.956889999999994,-214.0953,5.431363999999999,0.9768105,-1.060699
3812.6549999999997,-45.78647,-192.4048,-10.60098,-15.5171,-4.079542
3865.197,-57.4075,-188.852,-13.39567,-6.012142000000001,-5.2868960000000005
3880.5089999999996,-32.212579999999996,-203.4846,1.232586,1.594909,-4.213448
3835.167,-20.65295,-202.63260000000002,-0.633859,-0.8784814,-2.680939
3717.433,-57.89613,-244.8056,-24.088260000000002,13.26112,0.03802534
3705.9370000000004,-22.97038,-240.1442,-8.519413,19.1546,-3.02353
3808.0960000000005,-19.45928,-209.44299999999998,-4.42876,16.97519,-5.614269
3808.292,-26.12359,-207.61970000000002,11.143469999999999,27.93528,-4.93815
3763.698,-6.5991089999999994,-194.56169999999997,8.40436,17.90397,-2.477022
3697.0809999999997,-4.836202,-187.5644,9.311584,2.857586,-3.251927
3707.244,-26.3191,-186.6413,1.275648,4.430866,-4.70705
3658.328,-27.669629999999998,-194.5694,-0.9740029,-3.097093,-3.748828
3706.017,-61.18077,-192.33569999999997,-5.731980999999999,-14.64816,-1.992536
3664.464,-49.64961,-207.0853,-20.891669999999998,-15.2341,-2.669719
3719.342,-19.83967,-198.8423,-13.047899999999998,-11.02273,-5.6317960000000005
