x,y,z,roll,pitch,yaw
0.56387,-0.01379527,-0.02662081,0.0007732189,-0.001843985,0.0002657624
0.5482184,-0.005325297,-0.03339217,0.0005261347,-0.001111196,0.0002940542
0.5668287,-0.02114472,-0.04382377,-0.0002063791,-0.0008011815,0.00084277
0.5440316,-0.002565637,-0.0342838,0.0007697912,0.0006947276,-0.0001113014
0.5420665,-0.002563459,-0.03353883,0.001327909,0.001934277,-6.019927E-05
0.5511717,-0.001838073,-0.03110752,0.0005697827,0.00246069,1.374208E-05
0.5435542,-0.003098433,-0.02944123,-0.0002978404,0.001026547,0.0001289505
0.5371378,-0.00160543,-0.02994272,0.001145807,0.0003296955,-5.396317E-05
0.5395394,-0.004285543,-0.029542,0.0009750884,-0.0004225755,-0.000118031
0.536132,-0.0007886704,-0.03024409,0.0004926053,-0.0008831543,-0.0003125445
0.5362927,-0.002934284,-0.03192871,-0.0004757393,-0.001088711,-0.0001795733
0.5350085,-0.00304049,-0.03231734,6.533031E-05,-0.0004417697,-0.0001443213
0.5305095,-0.002752655,-0.03148389,7.457415E-05,-4.834489E-06,-7.369712E-05
0.5312343,-0.003833633,-0.03143289,-0.0001928352,-0.0007261668,-9.850576E-05
0.5353377,-0.004129282,-0.02997638,-0.0003409547,-0.0007191553,-0.0002316846
0.5316429,-0.002048847,-0.0311902,0.001101158,-0.0009673701,-0.0003004244
0.532805,-0.002915453,-0.02971545,0.0001030876,-0.0008416461,-0.0002590254
0.5315474,-0.00756239,-0.0289688,-0.002345055,-0.001768207,2.316237E-05
0.5343872,-0.001119246,-0.03161873,-0.0003719212,-0.0005122517,-7.770829E-05
0.5317323,-0.004294113,-0.03250677,-4.4298E-05,0.001127632,0.0001019973
0.5284917,-0.002931215,-0.03222556,0.001332187,0.002343947,-0.0001408308
0.522898,-0.003924018,-0.03242376,-0.0002457855,0.00156453,-0.0002554709
0.5240982,-0.00505387,-0.02699048,-0.001105144,0.001647442,5.388158E-05
0.5227885,-0.002318764,-0.02657879,-6.610465E-05,0.0002588981,0.000334286
0.5284352,-0.00109785,-0.02534102,-0.0005762531,-0.001200809,0.0001215585
0.5200035,-0.004766843,-0.03040495,-0.0007067803,-0.002118868,-0.0001543313
0.5259244,-0.00497133,-0.02912304,-0.0009794752,-0.001145322,-7.247112E-05
0.5277852,-0.005233142,-0.03134835,-0.0005196027,-0.0006699505,2.382401E-05
0.5214048,-0.0044683,-0.02881776,-0.001150566,-0.000335895,1.827728E-05
0.5266482,-0.00532758,-0.02835767,-0.001796366,-0.0003910423,0.0001776221
0.5174339,-0.004333535,-0.02991963,0.0002403851,0.0005808081,1.061416E-05
0.5163905,-0.003646669,-0.03040952,0.0007282057,0.00085455,-0.000190359
0.5141262,-0.003669749,-0.03064258,0.0005670423,0.0007978019,-0.0004355215
0.5173797,-0.002744916,-0.02913773,0.0007962897,0.0009587795,-0.0005080717
0.5073656,-0.004426464,-0.02925708,-0.0004723316,0.0008122398,-0.0003762993
0.5076864,-0.004016449,-0.02913161,0.000801099,0.0005271609,-0.0002919318
0.5115501,-0.002841586,-0.02936317,0.001505488,-0.0003722689,-0.0003523799
0.5091646,-0.004478524,-0.02968643,-0.0003257864,-0.0009242122,-0.0001973228
0.5098744,-0.004983925,-0.02973637,-0.0002497802,-0.0009094252,-0.0001444207
0.515135,-0.005270415,-0.028447,-0.0008659714,-0.0003402674,-0.0001839183
0.5083028,-0.006205379,-0.02981494,0.0008065583,8.190961E-05,-0.0001621367
0.5086962,-0.002535081,-0.02944975,0.001291954,9.749967E-05,-0.0004046541
0.5053885,-0.004781032,-0.02861037,-0.0005139123,0.0002376027,-0.0002770042
0.5045472,-0.00359165,-0.02836701,-0.0004972958,0.000667554,-0.0002085125
0.5005312,-0.003929916,-0.02939142,-0.0001094689,0.0004139474,-0.0001072402
0.5016706,-0.004000724,-0.028298,0.0005403944,0.0003969521,-0.0001107514
0.4993602,-0.003459503,-0.02812398,0.0005328191,-0.0001745932,-0.0002542625
0.5003359,-0.002682386,-0.02794846,-0.0002976157,-0.0005349037,-0.0002953573
0.5050245,-0.004123291,-0.02640298,-7.857548E-05,-0.0006172131,-3.387763E-05
0.5074983,-0.001308592,-0.02826224,0.0003302731,-0.0003650296,-0.0001693331
0.4988522,-0.00317399,-0.02851712,0.001131434,-4.838542E-05,-0.0002848822
0.4873696,-0.002622062,-0.02962976,0.0005764453,-0.0004166658,-0.0004212718
0.4934208,-0.002887112,-0.02764382,4.610657E-05,-0.001064391,-0.0005911461
0.4942989,-0.003486882,-0.02848442,0.0008725182,-0.00107205,-0.0005880736
0.4856538,-0.001205677,-0.02890922,0.001860368,-0.0007207493,-0.0004791383
0.4845156,-0.006230753,-0.02859918,-0.0001811574,-0.001290731,-0.0003104013
0.4770326,-0.003233611,-0.02501896,-0.0003546764,-0.002113449,-0.0002896381
0.4726697,-0.007537663,-0.02734258,-0.003212479,-0.001840609,-1.796804E-05
0.4745357,-0.003703964,-0.02848182,-0.001924037,0.0004148778,-8.751989E-05
0.4650226,-0.004001516,-0.03073921,0.0004549453,0.002664613,-0.0003315474
0.4567495,-0.001180265,-0.03262482,0.001205468,0.003328469,-0.0007625331
0.4565702,-0.003608807,-0.03005395,-0.001934447,0.003370169,-0.0002573681
0.4513969,-0.001939533,-0.02763609,0.0005130194,0.002984309,2.089909E-05
0.4492412,-0.003426974,-0.02322234,-0.0009604365,0.00152437,0.0003366296
0.4516791,-0.003861475,-0.02128766,-0.0008895738,-0.000858183,-7.262015E-05
0.4493689,-0.005833274,-0.02201261,-0.001584118,-0.002992956,-0.0003283173
0.4450798,-0.003684818,-0.02649671,0.0008864104,-0.002217643,-0.0001169961
0.4418289,-0.001188155,-0.02899961,0.002074568,-0.0009757193,-0.0001643881
0.4391401,0.001086919,-0.02981483,0.00272003,-0.0004423692,-0.0006914506
0.4337318,-0.001989873,-0.02789278,0.0009036055,-3.726314E-05,-0.0009650785
0.4306544,-0.0004322115,-0.0269516,0.001255729,0.0006318585,-0.0008185519
0.4254741,-0.003943727,-0.02519367,7.729474E-05,0.001512244,-0.0002226502
0.4255806,-0.004229916,-0.02377447,-0.0006097064,0.0001625711,-0.0001149262
0.4249473,-0.004226185,-0.0240874,-0.000897185,-0.001116788,-0.0004472263
0.4235954,-0.003631803,-0.02487365,-0.0007614497,-0.001163562,-0.0005238905
0.4198803,-0.002826689,-0.02488373,-0.0006770653,-0.0005432368,-0.0001814021
0.4179804,-0.002445601,-0.02473644,-0.0008537864,-0.0006361092,-6.702091E-05
0.415126,-0.002423139,-0.02429206,-0.0008721066,-0.001001107,-0.0002381045
0.4165331,-0.0002146099,-0.02541426,0.0006117329,0.0003407742,-0.0004180532
0.4104563,-0.001541677,-0.02765473,0.001139888,0.001622772,-0.00029115
0.4067612,-0.001499655,-0.02724853,0.0008206811,0.001718177,-0.0002513866
0.405618,-0.001281952,-0.02418686,-0.0001786496,0.001023323,-0.0003085446
0.4018383,-0.002536698,-0.02290169,-0.0005047728,0.0003651422,-0.0006054116
0.4032336,-0.004229557,-0.02141585,-0.001109081,0.001207798,-0.0006184524
0.3978622,-0.00662603,-0.0227921,-0.001768133,0.0005636884,-0.0004614086
0.3987208,-0.005717523,-0.02092385,-0.0004232072,-0.0007074267,-0.0003654229
0.3988218,-0.003255344,-0.02249293,-0.0002284442,-0.001549579,-0.0004242661
0.3958109,-0.002732739,-0.02267601,-0.0003613049,-0.001582423,-0.0004829165
0.3934347,-0.003573579,-0.02262362,-0.0007937133,-0.001093059,-0.0004299599
0.3893068,-0.002249776,-0.02393039,0.0007031971,-0.0009102011,-0.0002433057
0.390666,-0.002658303,-0.0225612,0.0001775765,-0.00100695,-0.000140076
0.3878899,-0.002247429,-0.0217428,-0.001041425,-0.0003404776,-0.0001208353
0.3948236,-0.001986156,-0.02129222,-0.000756248,-6.506397E-05,-0.0003705169
0.3837673,-0.00772309,-0.02172244,-0.0002493099,-0.0002536017,-0.0004624584
0.3840855,-0.007589384,-0.02163601,-0.001511454,-0.000536102,-0.000361006
0.3864632,-0.004454331,-0.02139703,-5.198001E-05,0.0002106286,-0.000197824
0.3845099,-0.004095689,-0.02140953,0.0005431364,9.768105E-05,-0.0001060699
0.3812655,-0.004578647,-0.01924048,-0.001060098,-0.00155171,-0.0004079542
0.3865197,-0.00574075,-0.0188852,-0.001339567,-0.0006012142,-0.0005286896
0.3880509,-0.003221258,-0.02034846,0.0001232586,0.0001594909,-0.0004213448
0.3835167,-0.002065295,-0.02026326,-6.33859E-05,-8.784814E-05,-0.0002680939
0.3717433,-0.005789613,-0.02448056,-0.002408826,0.001326112,3.802534E-06
0.3705937,-0.002297038,-0.02401442,-0.0008519413,0.00191546,-0.000302353
0.3808096,-0.001945928,-0.0209443,-0.000442876,0.001697519,-0.0005614269
0.3808292,-0.002612359,-0.02076197,0.001114347,0.002793528,-0.000493815
0.3763698,-0.0006599109,-0.01945617,0.000840436,0.001790397,-0.0002477022
0.3697081,-0.0004836202,-0.01875644,0.0009311584,0.0002857586,-0.0003251927
0.3707244,-0.00263191,-0.01866413,0.0001275648,0.0004430866,-0.000470705
0.3658328,-0.002766963,-0.01945694,-9.740029E-05,-0.0003097093,-0.0003748828
0.3706017,-0.006118077,-0.01923357,-0.0005731981,-0.001464816,-0.0001992536
0.3664464,-0.004964961,-0.02070853,-0.002089167,-0.00152341,-0.0002669719
0.3719342,-0.001983967,-0.01988423,-0.00130479,-0.001102273,-0.0005631796
0.3653234,-0.00352468,-0.02214292,0.0002996671,-0.0008239815,-0.0005822891
0.3662131,-0.002181484,-0.02202487,4.434767E-05,0.0002022667,-0.0006432111
0.3643159,-0.002649613,-0.02137109,6.961283E-05,0.0001765583,-0.000475168
0.3628601,-0.0001237673,-0.02058649,0.0005816139,0.000271274,-0.0005407985
0.358019,-0.00204463,-0.02252339,0.0001219461,0.0005807102,-0.0002681355
0.3571724,-0.004301097,-0.02129326,-0.001372039,0.0004803059,7.423261E-05
0.3614557,-0.005009201,-0.0182408,-0.001693734,2.938324E-05,6.422192E-05
0.3638638,-0.004349176,-0.01670047,-0.0006834124,-0.0003893259,-0.0001239968
0.3573766,-0.004205544,-0.02028924,-0.0007714569,-0.000799602,-0.0002154721
0.3547907,-0.003231722,-0.02023946,-0.001322313,-0.0005087351,-0.000224874
0.3571265,-0.003578078,-0.0205984,-0.0011482,7.47607E-05,-0.0001607959
0.3558651,-0.00263297,-0.01953194,-0.0006147967,-0.0006242868,-0.0002085248
0.356599,-0.004055523,-0.01844345,-0.001797191,-0.001746378,-0.0002733775
0.353809,-0.005417925,-0.01913656,-0.00227476,-0.001594342,-0.0001737143
0.3497807,-0.007702021,-0.01876847,-0.003103864,-0.001294444,-0.0002516606
0.3496551,-0.002396445,-0.02082314,0.0004015345,0.000553813,-0.0003270761
0.3491485,-0.001526903,-0.02148863,0.0006487156,0.001402368,3.761806E-06
0.3482988,-0.001770359,-0.02079568,-0.0007831135,0.0004650099,3.114531E-05
0.3490938,-0.001221307,-0.02079653,6.034787E-05,-0.000178261,2.637123E-05
0.3493485,-0.0002604408,-0.02040215,0.0008692063,0.0004535014,3.531207E-05
0.3458994,-0.002437885,-0.02048789,-0.0003840362,0.001263179,0.0002810187
0.3436912,-0.003394526,-0.02031027,-0.001464696,0.00109896,0.0006078241
0.3433417,-0.004155205,-0.01807789,-0.001547829,0.0009741391,0.0006260008
0.3437328,-0.002775275,-0.01992089,0.0003610236,-0.0006116004,-0.0002164076
0.3424818,-0.002459882,-0.01989178,-0.0007448822,-0.0005710419,-0.0006655003
0.3427531,-0.00119895,-0.01983061,0.000260672,-0.000312824,-0.0002603803
0.3424397,-0.0007233744,-0.02072629,0.001355746,-0.0001445814,0.0001968421
0.3406885,-0.0002629311,-0.0202255,0.0003091813,-7.048402E-05,0.0001171573
0.3400081,-0.001540144,-0.01993627,-0.000224269,-0.0002444889,-5.452742E-05
0.3383847,-0.002104659,-0.02003703,-0.0004749718,-0.0003097809,-0.0002011202
0.3370813,-0.003050117,-0.01910316,-0.001004206,-0.00012866,-0.0002221051
0.3412824,-0.001835703,-0.01901736,0.0002489985,-0.0003478279,-0.0001498012
0.3357606,-0.002783701,-0.01990019,-0.0004683314,-0.000376353,-2.214992E-05
0.3343123,-0.00223114,-0.02042246,4.840679E-05,0.0003404081,-8.228635E-05
0.3351823,-0.001887887,-0.01958593,0.0002686982,0.0003818141,-0.0001407696
0.3326968,-0.003243185,-0.02046578,-0.0009154442,8.019497E-05,1.711477E-05
0.3319675,-0.002787564,-0.01935789,-0.000332442,-6.541717E-05,-6.183859E-05
0.3341978,-0.002983807,-0.01894029,-0.0004648818,-0.0005817622,-3.649529E-05
0.3335611,-0.0034986,-0.01799395,-0.001050421,-0.0004443183,-1.877419E-05
0.3305145,-0.002038315,-0.01718166,0.0004796048,-0.0007727687,-8.211303E-05
0.3334134,-0.002984595,-0.01770013,0.0003650112,-0.0007912193,4.23307E-05
0.3255908,-0.002134349,-0.01974146,-0.0003995257,-1.257862E-05,-0.0002205505
0.3236558,-0.002169477,-0.02142848,8.303862E-05,0.001464244,-0.0001093539
0.3228583,-0.00201397,-0.02227599,-0.0007419328,0.001732099,0.0001851326
0.3228286,-0.002288409,-0.02166775,-0.0006299319,0.001315993,0.0004460308
0.3213178,-0.001276929,-0.01893901,-0.0001152417,0.0008569944,0.0006009803
0.3244228,-0.002794005,-0.01727699,-0.0004929663,0.0005176264,0.0007024931
0.321086,-0.0009174384,-0.01611661,0.000101258,0.001080564,0.0005258289
0.3178521,-0.0006154241,-0.01541071,0.0003718602,0.0008897109,0.0003166063
0.3195344,-0.0007898978,-0.01547805,-0.0004291406,0.0001200109,0.0004704161
0.318459,0.0004134941,-0.01554678,0.001117022,-0.001701894,0.0005551178
0.3194547,-0.001408271,-0.01815342,0.0006818299,-0.002349654,0.0007299133
0.3162344,-0.0005528795,-0.01968759,0.000688748,-0.002505356,0.0004910574
0.322203,0.0004514084,-0.02134394,0.001318949,-0.001652162,0.0004836571
0.3121197,-0.000740858,-0.02061766,0.0006296273,-0.0003034308,0.0003936056
0.312136,-0.00207135,-0.01976088,-3.5648E-05,-3.273796E-05,0.00038759
0.3101052,-0.002120601,-0.0198158,0.0006034974,0.0001742548,0.0003453164
0.3056393,-9.957471E-05,-0.02009429,0.0003754253,0.0004546635,0.0005720679
