source_timestamp,destination_timestamp
1403713564283985,1403713564221485
1403713564346488,1403713564283985
1403713564408988,1403713564346488
1403713564471491,1403713564408988
1403713564533990,1403713564471491
1403713564596492,1403713564533990
1403713564658993,1403713564596492
1403713564721495,1403713564658993
1403713564783995,1403713564721495
1403713564846495,1403713564783995
1403713564908997,1403713564846495
1403713564971498,1403713564908997
1403713565034001,1403713564971498
1403713565096501,1403713565034001
1403713565159002,1403713565096501
1403713565221503,1403713565159002
1403713565284006,1403713565221503
1403713565346507,1403713565284006
1403713565409007,1403713565346507
1403713565471508,1403713565409007
1403713565534009,1403713565471508
1403713565596510,1403713565534009
1403713565659010,1403713565596510
1403713565721512,1403713565659010
1403713565784014,1403713565721512
1403713565846515,1403713565784014
1403713565909016,1403713565846515
1403713565971519,1403713565909016
1403713566034018,1403713565971519
1403713566096519,1403713566034018
1403713566159019,1403713566096519
1403713566221519,1403713566159019
1403713566284021,1403713566221519
1403713566346523,1403713566284021
1403713566409023,1403713566346523
1403713566471523,1403713566409023
1403713566534026,1403713566471523
1403713566596527,1403713566534026
1403713566659029,1403713566596527
1403713566721530,1403713566659029
1403713566784032,1403713566721530
1403713566846532,1403713566784032
1403713566909034,1403713566846532
1403713566971535,1403713566909034
1403713567034037,1403713566971535
1403713567096540,1403713567034037
1403713567159040,1403713567096540
1403713567221546,1403713567159040
1403713567284045,1403713567221546
1403713567346545,1403713567284045
1403713567409049,1403713567346545
1403713567471547,1403713567409049
1403713567534048,1403713567471547
1403713567596549,1403713567534048
1403713567659052,1403713567596549
1403713567721553,1403713567659052
1403713567784054,1403713567721553
1403713567846555,1403713567784054
1403713567909057,1403713567846555
1403713567971558,1403713567909057
1403713568034060,1403713567971558
1403713568096561,1403713568034060
1403713568159064,1403713568096561
1403713568221564,1403713568159064
1403713568284065,1403713568221564
1403713568346567,1403713568284065
1403713568409068,1403713568346567
1403713568471570,1403713568409068
1403713568534072,1403713568471570
1403713568596572,1403713568534072
1403713568659074,1403713568596572
1403713568721575,1403713568659074
1403713568784077,1403713568721575
1403713568846578,1403713568784077
1403713568909080,1403713568846578
1403713568971582,1403713568909080
1403713569034083,1403713568971582
1403713569096584,1403713569034083
1403713569159086,1403713569096584
1403713569221590,1403713569159086
1403713569284089,1403713569221590
1403713569346590,1403713569284089
1403713569409092,1403713569346590
1403713569471593,1403713569409092
1403713569534095,1403713569471593
1403713569596596,1403713569534095
1403713569659098,1403713569596596
1403713569721597,1403713569659098
1403713569784099,1403713569721597
1403713569846599,1403713569784099
1403713569909099,1403713569846599
1403713569971599,1403713569909099
1403713570034100,1403713569971599
1403713570096600,1403713570034100
1403713570159101,1403713570096600
1403713570221602,1403713570159101
1403713570284102,1403713570221602
1403713570346603,1403713570284102
1403713570409105,1403713570346603
1403713570471604,1403713570409105
1403713570534104,1403713570471604
1403713570596605,1403713570534104
1403713570659106,1403713570596605
1403713570721605,1403713570659106
1403713570784107,1403713570721605
1403713570846609,1403713570784107
1403713570909113,1403713570846609
1403713570971611,1403713570909113
1403713571034111,1403713570971611
1403713571096613,1403713571034111
1403713571159112,1403713571096613
1403713571221612,1403713571159112
1403713571284113,1403713571221612
1403713571346613,1403713571284113
1403713571409116,1403713571346613
1403713571471618,1403713571409116
1403713571534119,1403713571471618
1403713571596617,1403713571534119
1403713571659119,1403713571596617
1403713571721619,1403713571659119
1403713571784124,1403713571721619
1403713571846623,1403713571784124
1403713571909125,1403713571846623
1403713571971626,1403713571909125
1403713572034127,1403713571971626
1403713572096628,1403713572034127
1403713572159134,1403713572096628
1403713572221630,1403713572159134
1403713572284135,1403713572221630
1403713572346633,1403713572284135
1403713572409136,1403713572346633
1403713572471638,1403713572409136
1403713572534138,1403713572471638
1403713572596638,1403713572534138
1403713572659138,1403713572596638
1403713572721643,1403713572659138
1403713572784141,1403713572721643
1403713572846644,1403713572784141
1403713572909146,1403713572846644
1403713572971645,1403713572909146
1403713573034146,1403713572971645
1403713573096648,1403713573034146
1403713573159149,1403713573096648
1403713573221651,1403713573159149
1403713573284158,1403713573221651
1403713573346653,1403713573284158
1403713573409155,1403713573346653
1403713573471657,1403713573409155
1403713573534158,1403713573471657
1403713573596659,1403713573534158
1403713573659163,1403713573596659
1403713573721667,1403713573659163
1403713573784167,1403713573721667
1403713573846666,1403713573784167
1403713573909169,1403713573846666
1403713573971669,1403713573909169
1403713574034169,1403713573971669
1403713574096668,1403713574034169
1403713574159171,1403713574096668
1403713574221670,1403713574159171
1403713574284171,1403713574221670
1403713574346672,1403713574284171
1403713574409172,1403713574346672
1403713574471672,1403713574409172
1403713574534174,1403713574471672
1403713574596673,1403713574534174
1403713574659177,1403713574596673
1403713574721676,1403713574659177
1403713574784176,1403713574721676
1403713574846678,1403713574784176
1403713574909180,1403713574846678
1403713574971681,1403713574909180
1403713575034184,1403713574971681
1403713575096684,1403713575034184
1403713575159186,1403713575096684
1403713575221687,1403713575159186
1403713575284189,1403713575221687
1403713575346690,1403713575284189
1403713575409191,1403713575346690
1403713575471692,1403713575409191
1403713575534194,1403713575471692
1403713575596696,1403713575534194
1403713575659197,1403713575596696
1403713575721698,1403713575659197
1403713575784200,1403713575721698
1403713575846702,1403713575784200
1403713575909203,1403713575846702
1403713575971704,1403713575909203
1403713576034205,1403713575971704
1403713576096707,1403713576034205
1403713576159209,1403713576096707
1403713576221710,1403713576159209
1403713576284211,1403713576221710
1403713576346713,1403713576284211
1403713576409214,1403713576346713
1403713576471715,1403713576409214
1403713576534217,1403713576471715
1403713576596718,1403713576534217
1403713576659220,1403713576596718
1403713576721724,1403713576659220
1403713576784225,1403713576721724
1403713576846724,1403713576784225
1403713576909226,1403713576846724
1403713576971727,1403713576909226
1403713577034229,1403713576971727
1403713577096730,1403713577034229
1403713577159231,1403713577096730
1403713577221732,1403713577159231
1403713577284237,1403713577221732
1403713577346736,1403713577284237
1403713577409237,1403713577346736
1403713577471740,1403713577409237
1403713577534240,1403713577471740
1403713577596743,1403713577534240
1403713577659246,1403713577596743
1403713577721745,1403713577659246
1403713577784246,1403713577721745
1403713577846747,1403713577784246
1403713577909249,1403713577846747
1403713577971750,1403713577909249
1403713578034251,1403713577971750
1403713578096753,1403713578034251
1403713578159254,1403713578096753
1403713578221755,1403713578159254
1403713578284261,1403713578221755
1403713578346759,1403713578284261
1403713578409260,1403713578346759
1403713578471763,1403713578409260
1403713578534268,1403713578471763
1403713578596764,1403713578534268
1403713578659269,1403713578596764
1403713578721766,1403713578659269
1403713578784266,1403713578721766
1403713578846770,1403713578784266
1403713578909267,1403713578846770
1403713578971770,1403713578909267
1403713579034269,1403713578971770
1403713579096770,1403713579034269
1403713579159270,1403713579096770
1403713579284275,1403713579159270
1403713579346771,1403713579284275
1403713579409271,1403713579346771
1403713579471773,1403713579409271
1403713579596772,1403713579471773
1403713579659273,1403713579596772
1403713579721774,1403713579659273
1403713579784274,1403713579721774
1403713579846775,1403713579784274
1403713579909276,1403713579846775
1403713579971776,1403713579909276
1403713580034277,1403713579971776
1403713580096778,1403713580034277
1403713580159279,1403713580096778
1403713580221781,1403713580159279
1403713580284281,1403713580221781
1403713580346781,1403713580284281
1403713580409282,1403713580346781
1403713580471783,1403713580409282
1403713580534283,1403713580471783
1403713580596784,1403713580534283
1403713580659285,1403713580596784
1403713580721784,1403713580659285
1403713580784286,1403713580721784
1403713580846787,1403713580784286
1403713580909291,1403713580846787
1403713580971791,1403713580909291
1403713581034293,1403713580971791
1403713581096793,1403713581034293
1403713581159293,1403713581096793
1403713581221794,1403713581159293
1403713581284295,1403713581221794
1403713581346796,1403713581284295
1403713581409298,1403713581346796
1403713581471800,1403713581409298
1403713581534301,1403713581471800
1403713581596802,1403713581534301
1403713581659304,1403713581596802
1403713581721805,1403713581659304
1403713581784307,1403713581721805
1403713581846809,1403713581784307
1403713581909310,1403713581846809
1403713581971811,1403713581909310
1403713582034316,1403713581971811
1403713582096815,1403713582034316
1403713582159316,1403713582096815
1403713582221817,1403713582159316
1403713582284319,1403713582221817
1403713582346823,1403713582284319
1403713582409321,1403713582346823
1403713582471823,1403713582409321
1403713582534325,1403713582471823
1403713582596826,1403713582534325
1403713582659328,1403713582596826
1403713582721828,1403713582659328
1403713582784332,1403713582721828
1403713582846833,1403713582784332
1403713582909333,1403713582846833
1403713582971833,1403713582909333
1403713583034333,1403713582971833
1403713583096835,1403713583034333
1403713583159335,1403713583096835
1403713583221835,1403713583159335
1403713583284337,1403713583221835
1403713583346837,1403713583284337
1403713583409336,1403713583346837
1403713583471841,1403713583409336
1403713583534338,1403713583471841
1403713583596838,1403713583534338
1403713583659340,1403713583596838
1403713583721841,1403713583659340
1403713583784343,1403713583721841
1403713583846845,1403713583784343
1403713583909346,1403713583846845
1403713583971847,1403713583909346
1403713584034349,1403713583971847
1403713584096850,1403713584034349
1403713584159353,1403713584096850
1403713584221854,1403713584159353
1403713584284355,1403713584221854
1403713584346859,1403713584284355
1403713584409361,1403713584346859
1403713584471863,1403713584409361
1403713584534361,1403713584471863
1403713584596862,1403713584534361
1403713584659366,1403713584596862
1403713584721864,1403713584659366
1403713584784369,1403713584721864
1403713584846867,1403713584784369
1403713584909369,1403713584846867
1403713584971870,1403713584909369
1403713585034372,1403713584971870
1403713585096873,1403713585034372
1403713585159375,1403713585096873
1403713585221878,1403713585159375
1403713585284380,1403713585221878
1403713585346880,1403713585284380
1403713585409382,1403713585346880
1403713585471884,1403713585409382
1403713585534383,1403713585471884
1403713585596888,1403713585534383
1403713585659386,1403713585596888
1403713585721888,1403713585659386
1403713585784389,1403713585721888
1403713585846893,1403713585784389
1403713585909395,1403713585846893
1403713585971893,1403713585909395
1403713586034394,1403713585971893
1403713586096896,1403713586034394
1403713586159397,1403713586096896
1403713586221899,1403713586159397
1403713586284400,1403713586221899
1403713586346902,1403713586284400
1403713586409403,1403713586346902
1403713586471904,1403713586409403
1403713586534406,1403713586471904
1403713586596907,1403713586534406
1403713586659409,1403713586596907
1403713586721910,1403713586659409
1403713586784412,1403713586721910
1403713586846913,1403713586784412
1403713586909415,1403713586846913
1403713586971916,1403713586909415
1403713587034418,1403713586971916
1403713587096919,1403713587034418
1403713587159420,1403713587096919
1403713587221922,1403713587159420
1403713587284424,1403713587221922
1403713587346925,1403713587284424
1403713587409428,1403713587346925
1403713587471927,1403713587409428
1403713587534429,1403713587471927
1403713587596931,1403713587534429
1403713587659432,1403713587596931
1403713587721933,1403713587659432
1403713587784435,1403713587721933
1403713587909436,1403713587784435
1403713587971938,1403713587909436
1403713588034442,1403713587971938
1403713588096941,1403713588034442
1403713588221942,1403713588096941
1403713588284446,1403713588221942
1403713588346945,1403713588284446
1403713588409446,1403713588346945
1403713588534451,1403713588409446
1403713588596951,1403713588534451
1403713588659451,1403713588596951
1403713588784452,1403713588659451
1403713588846953,1403713588784452
1403713588909455,1403713588846953
1403713588971956,1403713588909455
1403713589096957,1403713588971956
1403713589159459,1403713589096957
1403713589221961,1403713589159459
1403713589284463,1403713589221961
1403713589409464,1403713589284463
1403713589471965,1403713589409464
1403713589534466,1403713589471965
1403713589596968,1403713589534466
1403713589721970,1403713589596968
1403713589784471,1403713589721970
1403713589846972,1403713589784471
1403713589909474,1403713589846972
1403713590034478,1403713589909474
1403713590096979,1403713590034478
1403713590159478,1403713590096979
1403713590221980,1403713590159478
1403713590346982,1403713590221980
1403713590409483,1403713590346982
1403713590471984,1403713590409483
1403713590534486,1403713590471984
1403713590659488,1403713590534486
1403713590721988,1403713590659488
1403713590784490,1403713590721988
1403713590909491,1403713590784490
1403713590971992,1403713590909491
1403713591034494,1403713590971992
1403713591159497,1403713591034494
1403713591221997,1403713591159497
1403713591284499,1403713591221997
1403713591409499,1403713591284499
1403713591472002,1403713591409499
1403713591534503,1403713591472002
1403713591597004,1403713591534503
1403713591722006,1403713591597004
1403713591784507,1403713591722006
1403713591847008,1403713591784507
1403713591909510,1403713591847008
1403713592034511,1403713591909510
1403713592097012,1403713592034511
1403713592159514,1403713592097012
1403713592222017,1403713592159514
1403713592347019,1403713592222017
1403713592409519,1403713592347019
1403713592472020,1403713592409519
1403713592534521,1403713592472020
1403713592659523,1403713592534521
1403713592722024,1403713592659523
1403713592784526,1403713592722024
1403713592847029,1403713592784526
1403713592972028,1403713592847029
1403713593034530,1403713592972028
1403713593097032,1403713593034530
1403713593159534,1403713593097032
1403713593284535,1403713593159534
1403713593347037,1403713593284535
1403713593409540,1403713593347037
1403713593472041,1403713593409540
1403713593597041,1403713593472041
1403713593659543,1403713593597041
1403713593722044,1403713593659543
1403713593847048,1403713593722044
1403713593909547,1403713593847048
1403713593972048,1403713593909547
1403713594034550,1403713593972048
1403713594159551,1403713594034550
1403713594222053,1403713594159551
1403713594284554,1403713594222053
1403713594409556,1403713594284554
1403713594472057,1403713594409556
1403713594534559,1403713594472057
1403713594659561,1403713594534559
1403713594722062,1403713594659561
1403713594784563,1403713594722062
1403713594909564,1403713594784563
1403713594972066,1403713594909564
1403713595034568,1403713594972066
1403713595097069,1403713595034568
1403713595222071,1403713595097069
1403713595284572,1403713595222071
1403713595347073,1403713595284572
1403713595472075,1403713595347073
1403713595534576,1403713595472075
1403713595597077,1403713595534576
1403713595722079,1403713595597077
1403713595784580,1403713595722079
1403713595847081,1403713595784580
1403713595972083,1403713595847081
1403713596034585,1403713595972083
1403713596097086,1403713596034585
1403713596159588,1403713596097086
1403713596284589,1403713596159588
1403713596347090,1403713596284589
1403713596409595,1403713596347090
1403713596472093,1403713596409595
1403713596597094,1403713596472093
1403713596659596,1403713596597094
1403713596722097,1403713596659596
1403713596784599,1403713596722097
1403713596909602,1403713596784599
1403713596972102,1403713596909602
1403713597034603,1403713596972102
1403713597097106,1403713597034603
1403713597222109,1403713597097106
1403713597284607,1403713597222109
1403713597347109,1403713597284607
1403713597409611,1403713597347109
1403713597534612,1403713597409611
1403713597597113,1403713597534612
1403713597659615,1403713597597113
1403713597722116,1403713597659615
1403713597847117,1403713597722116
1403713597909619,1403713597847117
1403713597972122,1403713597909619
1403713598034622,1403713597972122
1403713598159623,1403713598034622
1403713598222126,1403713598159623
1403713598284631,1403713598222126
1403713598347128,1403713598284631
1403713598472130,1403713598347128
1403713598534631,1403713598472130
1403713598597133,1403713598534631
1403713598659634,1403713598597133
1403713598784636,1403713598659634
1403713598847137,1403713598784636
1403713598909639,1403713598847137
1403713599034639,1403713598909639
1403713599097141,1403713599034639
1403713599159642,1403713599097141
1403713599222144,1403713599159642
1403713599347146,1403713599222144
1403713599409647,1403713599347146
1403713599472148,1403713599409647
1403713599534649,1403713599472148
1403713599659651,1403713599534649
1403713599722154,1403713599659651
1403713599784654,1403713599722154
1403713599909655,1403713599784654
1403713599972157,1403713599909655
1403713600034658,1403713599972157
1403713600097159,1403713600034658
1403713600222161,1403713600097159
1403713600284662,1403713600222161
1403713600347164,1403713600284662
1403713600409665,1403713600347164
1403713600534669,1403713600409665
1403713600597168,1403713600534669
1403713600659669,1403713600597168
1403713600722171,1403713600659669
1403713600847172,1403713600722171
1403713600909674,1403713600847172
1403713600972177,1403713600909674
1403713601097179,1403713600972177
1403713601159679,1403713601097179
1403713601222180,1403713601159679
1403713601284683,1403713601222180
