source_timestamp,destination_timestamp,x,y,z,roll,pitch,yaw
1403713564283985,1403713564221485,5.638700e-01,-1.379527e-02,-2.662081e-02,7.732189e-04,-1.843985e-03,2.657624e-04
1403713564346488,1403713564283985,5.482184e-01,-5.325297e-03,-3.339217e-02,5.261347e-04,-1.111196e-03,2.940542e-04
1403713564408988,1403713564346488,5.668287e-01,-2.114472e-02,-4.382377e-02,-2.063791e-04,-8.011815e-04,8.427700e-04
1403713564471491,1403713564408988,5.440316e-01,-2.565637e-03,-3.428380e-02,7.697912e-04,6.947276e-04,-1.113014e-04
1403713564533990,1403713564471491,5.420665e-01,-2.563459e-03,-3.353883e-02,1.327909e-03,1.934277e-03,-6.019927e-05
1403713564596492,1403713564533990,5.511717e-01,-1.838073e-03,-3.110752e-02,5.697827e-04,2.460690e-03,1.374208e-05
1403713564658993,1403713564596492,5.435542e-01,-3.098433e-03,-2.944123e-02,-2.978404e-04,1.026547e-03,1.289505e-04
1403713564721495,1403713564658993,5.371378e-01,-1.605430e-03,-2.994272e-02,1.145807e-03,3.296955e-04,-5.396317e-05
1403713564783995,1403713564721495,5.395394e-01,-4.285543e-03,-2.954200e-02,9.750884e-04,-4.225755e-04,-1.180310e-04
1403713564846495,1403713564783995,5.361320e-01,-7.886704e-04,-3.024409e-02,4.926053e-04,-8.831543e-04,-3.125445e-04
1403713564908997,1403713564846495,5.362927e-01,-2.934284e-03,-3.192871e-02,-4.757393e-04,-1.088711e-03,-1.795733e-04
1403713564971498,1403713564908997,5.350085e-01,-3.040490e-03,-3.231734e-02,6.533031e-05,-4.417697e-04,-1.443213e-04
1403713565034001,1403713564971498,5.305095e-01,-2.752655e-03,-3.148389e-02,7.457415e-05,-4.834489e-06,-7.369712e-05
1403713565096501,1403713565034001,5.312343e-01,-3.833633e-03,-3.143289e-02,-1.928352e-04,-7.261668e-04,-9.850576e-05
1403713565159002,1403713565096501,5.353377e-01,-4.129282e-03,-2.997638e-02,-3.409547e-04,-7.191553e-04,-2.316846e-04
1403713565221503,1403713565159002,5.316429e-01,-2.048847e-03,-3.119020e-02,1.101158e-03,-9.673701e-04,-3.004244e-04
1403713565284006,1403713565221503,5.328050e-01,-2.915453e-03,-2.971545e-02,1.030876e-04,-8.416461e-04,-2.590254e-04
1403713565346507,1403713565284006,5.315474e-01,-7.562390e-03,-2.896880e-02,-2.345055e-03,-1.768207e-03,2.316237e-05
1403713565409007,1403713565346507,5.343872e-01,-1.119246e-03,-3.161873e-02,-3.719212e-04,-5.122517e-04,-7.770829e-05
1403713565471508,1403713565409007,5.317323e-01,-4.294113e-03,-3.250677e-02,-4.429800e-05,1.127632e-03,1.019973e-04
1403713565534009,1403713565471508,5.284917e-01,-2.931215e-03,-3.222556e-02,1.332187e-03,2.343947e-03,-1.408308e-04
1403713565596510,1403713565534009,5.228980e-01,-3.924018e-03,-3.242376e-02,-2.457855e-04,1.564530e-03,-2.554709e-04
1403713565659010,1403713565596510,5.240982e-01,-5.053870e-03,-2.699048e-02,-1.105144e-03,1.647442e-03,5.388158e-05
1403713565721512,1403713565659010,5.227885e-01,-2.318764e-03,-2.657879e-02,-6.610465e-05,2.588981e-04,3.342860e-04
1403713565784014,1403713565721512,5.284352e-01,-1.097850e-03,-2.534102e-02,-5.762531e-04,-1.200809e-03,1.215585e-04
1403713565846515,1403713565784014,5.200035e-01,-4.766843e-03,-3.040495e-02,-7.067803e-04,-2.118868e-03,-1.543313e-04
1403713565909016,1403713565846515,5.259244e-01,-4.971330e-03,-2.912304e-02,-9.794752e-04,-1.145322e-03,-7.247112e-05
1403713565971519,1403713565909016,5.277852e-01,-5.233142e-03,-3.134835e-02,-5.196027e-04,-6.699505e-04,2.382401e-05
1403713566034018,1403713565971519,5.214048e-01,-4.468300e-03,-2.881776e-02,-1.150566e-03,-3.358950e-04,1.827728e-05
1403713566096519,1403713566034018,5.266482e-01,-5.327580e-03,-2.835767e-02,-1.796366e-03,-3.910423e-04,1.776221e-04
1403713566159019,1403713566096519,5.174339e-01,-4.333535e-03,-2.991963e-02,2.403851e-04,5.808081e-04,1.061416e-05
1403713566221519,1403713566159019,5.163905e-01,-3.646669e-03,-3.040952e-02,7.282057e-04,8.545500e-04,-1.903590e-04
1403713566284021,1403713566221519,5.141262e-01,-3.669749e-03,-3.064258e-02,5.670423e-04,7.978019e-04,-4.355215e-04
1403713566346523,1403713566284021,5.173797e-01,-2.744916e-03,-2.913773e-02,7.962897e-04,9.587795e-04,-5.080717e-04
1403713566409023,1403713566346523,5.073656e-01,-4.426464e-03,-2.925708e-02,-4.723316e-04,8.122398e-04,-3.762993e-04
1403713566471523,1403713566409023,5.076864e-01,-4.016449e-03,-2.913161e-02,8.010990e-04,5.271609e-04,-2.919318e-04
1403713566534026,1403713566471523,5.115501e-01,-2.841586e-03,-2.936317e-02,1.505488e-03,-3.722689e-04,-3.523799e-04
1403713566596527,1403713566534026,5.091646e-01,-4.478524e-03,-2.968643e-02,-3.257864e-04,-9.242122e-04,-1.973228e-04
1403713566659029,1403713566596527,5.098744e-01,-4.983925e-03,-2.973637e-02,-2.497802e-04,-9.094252e-04,-1.444207e-04
1403713566721530,1403713566659029,5.151350e-01,-5.270415e-03,-2.844700e-02,-8.659714e-04,-3.402674e-04,-1.839183e-04
1403713566784032,1403713566721530,5.083028e-01,-6.205379e-03,-2.981494e-02,8.065583e-04,8.190961e-05,-1.621367e-04
1403713566846532,1403713566784032,5.086962e-01,-2.535081e-03,-2.944975e-02,1.291954e-03,9.749967e-05,-4.046541e-04
1403713566909034,1403713566846532,5.053885e-01,-4.781032e-03,-2.861037e-02,-5.139123e-04,2.376027e-04,-2.770042e-04
1403713566971535,1403713566909034,5.045472e-01,-3.591650e-03,-2.836701e-02,-4.972958e-04,6.675540e-04,-2.085125e-04
1403713567034037,1403713566971535,5.005312e-01,-3.929916e-03,-2.939142e-02,-1.094689e-04,4.139474e-04,-1.072402e-04
1403713567096540,1403713567034037,5.016706e-01,-4.000724e-03,-2.829800e-02,5.403944e-04,3.969521e-04,-1.107514e-04
1403713567159040,1403713567096540,4.993602e-01,-3.459503e-03,-2.812398e-02,5.328191e-04,-1.745932e-04,-2.542625e-04
1403713567221546,1403713567159040,5.003359e-01,-2.682386e-03,-2.794846e-02,-2.976157e-04,-5.349037e-04,-2.953573e-04
1403713567284045,1403713567221546,5.050245e-01,-4.123291e-03,-2.640298e-02,-7.857548e-05,-6.172131e-04,-3.387763e-05
1403713567346545,1403713567284045,5.074983e-01,-1.308592e-03,-2.826224e-02,3.302731e-04,-3.650296e-04,-1.693331e-04
1403713567409049,1403713567346545,4.988522e-01,-3.173990e-03,-2.851712e-02,1.131434e-03,-4.838542e-05,-2.848822e-04
1403713567471547,1403713567409049,4.873696e-01,-2.622062e-03,-2.962976e-02,5.764453e-04,-4.166658e-04,-4.212718e-04
1403713567534048,1403713567471547,4.934208e-01,-2.887112e-03,-2.764382e-02,4.610657e-05,-1.064391e-03,-5.911461e-04
1403713567596549,1403713567534048,4.942989e-01,-3.486882e-03,-2.848442e-02,8.725182e-04,-1.072050e-03,-5.880736e-04
1403713567659052,1403713567596549,4.856538e-01,-1.205677e-03,-2.890922e-02,1.860368e-03,-7.207493e-04,-4.791383e-04
1403713567721553,1403713567659052,4.845156e-01,-6.230753e-03,-2.859918e-02,-1.811574e-04,-1.290731e-03,-3.104013e-04
1403713567784054,1403713567721553,4.770326e-01,-3.233611e-03,-2.501896e-02,-3.546764e-04,-2.113449e-03,-2.896381e-04
1403713567846555,1403713567784054,4.726697e-01,-7.537663e-03,-2.734258e-02,-3.212479e-03,-1.840609e-03,-1.796804e-05
1403713567909057,1403713567846555,4.745357e-01,-3.703964e-03,-2.848182e-02,-1.924037e-03,4.148778e-04,-8.751989e-05
1403713567971558,1403713567909057,4.650226e-01,-4.001516e-03,-3.073921e-02,4.549453e-04,2.664613e-03,-3.315474e-04
1403713568034060,1403713567971558,4.567495e-01,-1.180265e-03,-3.262482e-02,1.205468e-03,3.328469e-03,-7.625331e-04
1403713568096561,1403713568034060,4.565702e-01,-3.608807e-03,-3.005395e-02,-1.934447e-03,3.370169e-03,-2.573681e-04
1403713568159064,1403713568096561,4.513969e-01,-1.939533e-03,-2.763609e-02,5.130194e-04,2.984309e-03,2.089909e-05
1403713568221564,1403713568159064,4.492412e-01,-3.426974e-03,-2.322234e-02,-9.604365e-04,1.524370e-03,3.366296e-04
1403713568284065,1403713568221564,4.516791e-01,-3.861475e-03,-2.128766e-02,-8.895738e-04,-8.581830e-04,-7.262015e-05
1403713568346567,1403713568284065,4.493689e-01,-5.833274e-03,-2.201261e-02,-1.584118e-03,-2.992956e-03,-3.283173e-04
1403713568409068,1403713568346567,4.450798e-01,-3.684818e-03,-2.649671e-02,8.864104e-04,-2.217643e-03,-1.169961e-04
1403713568471570,1403713568409068,4.418289e-01,-1.188155e-03,-2.899961e-02,2.074568e-03,-9.757193e-04,-1.643881e-04
1403713568534072,1403713568471570,4.391401e-01,1.086919e-03,-2.981483e-02,2.720030e-03,-4.423692e-04,-6.914506e-04
1403713568596572,1403713568534072,4.337318e-01,-1.989873e-03,-2.789278e-02,9.036055e-04,-3.726314e-05,-9.650785e-04
1403713568659074,1403713568596572,4.306544e-01,-4.322115e-04,-2.695160e-02,1.255729e-03,6.318585e-04,-8.185519e-04
1403713568721575,1403713568659074,4.254741e-01,-3.943727e-03,-2.519367e-02,7.729474e-05,1.512244e-03,-2.226502e-04
1403713568784077,1403713568721575,4.255806e-01,-4.229916e-03,-2.377447e-02,-6.097064e-04,1.625711e-04,-1.149262e-04
1403713568846578,1403713568784077,4.249473e-01,-4.226185e-03,-2.408740e-02,-8.971850e-04,-1.116788e-03,-4.472263e-04
1403713568909080,1403713568846578,4.235954e-01,-3.631803e-03,-2.487365e-02,-7.614497e-04,-1.163562e-03,-5.238905e-04
1403713568971582,1403713568909080,4.198803e-01,-2.826689e-03,-2.488373e-02,-6.770653e-04,-5.432368e-04,-1.814021e-04
1403713569034083,1403713568971582,4.179804e-01,-2.445601e-03,-2.473644e-02,-8.537864e-04,-6.361092e-04,-6.702091e-05
1403713569096584,1403713569034083,4.151260e-01,-2.423139e-03,-2.429206e-02,-8.721066e-04,-1.001107e-03,-2.381045e-04
1403713569159086,1403713569096584,4.165331e-01,-2.146099e-04,-2.541426e-02,6.117329e-04,3.407742e-04,-4.180532e-04
1403713569221590,1403713569159086,4.104563e-01,-1.541677e-03,-2.765473e-02,1.139888e-03,1.622772e-03,-2.911500e-04
1403713569284089,1403713569221590,4.067612e-01,-1.499655e-03,-2.724853e-02,8.206811e-04,1.718177e-03,-2.513866e-04
1403713569346590,1403713569284089,4.056180e-01,-1.281952e-03,-2.418686e-02,-1.786496e-04,1.023323e-03,-3.085446e-04
1403713569409092,1403713569346590,4.018383e-01,-2.536698e-03,-2.290169e-02,-5.047728e-04,3.651422e-04,-6.054116e-04
1403713569471593,1403713569409092,4.032336e-01,-4.229557e-03,-2.141585e-02,-1.109081e-03,1.207798e-03,-6.184524e-04
1403713569534095,1403713569471593,3.978622e-01,-6.626030e-03,-2.279210e-02,-1.768133e-03,5.636884e-04,-4.614086e-04
1403713569596596,1403713569534095,3.987208e-01,-5.717523e-03,-2.092385e-02,-4.232072e-04,-7.074267e-04,-3.654229e-04
1403713569659098,1403713569596596,3.988218e-01,-3.255344e-03,-2.249293e-02,-2.284442e-04,-1.549579e-03,-4.242661e-04
1403713569721597,1403713569659098,3.958109e-01,-2.732739e-03,-2.267601e-02,-3.613049e-04,-1.582423e-03,-4.829165e-04
1403713569784099,1403713569721597,3.934347e-01,-3.573579e-03,-2.262362e-02,-7.937133e-04,-1.093059e-03,-4.299599e-04
1403713569846599,1403713569784099,3.893068e-01,-2.249776e-03,-2.393039e-02,7.031971e-04,-9.102011e-04,-2.433057e-04
1403713569909099,1403713569846599,3.906660e-01,-2.658303e-03,-2.256120e-02,1.775765e-04,-1.006950e-03,-1.400760e-04
1403713569971599,1403713569909099,3.878899e-01,-2.247429e-03,-2.174280e-02,-1.041425e-03,-3.404776e-04,-1.208353e-04
1403713570034100,1403713569971599,3.948236e-01,-1.986156e-03,-2.129222e-02,-7.562480e-04,-6.506397e-05,-3.705169e-04
1403713570096600,1403713570034100,3.837673e-01,-7.723090e-03,-2.172244e-02,-2.493099e-04,-2.536017e-04,-4.624584e-04
1403713570159101,1403713570096600,3.840855e-01,-7.589384e-03,-2.163601e-02,-1.511454e-03,-5.361020e-04,-3.610060e-04
1403713570221602,1403713570159101,3.864632e-01,-4.454331e-03,-2.139703e-02,-5.198001e-05,2.106286e-04,-1.978240e-04
1403713570284102,1403713570221602,3.845099e-01,-4.095689e-03,-2.140953e-02,5.431364e-04,9.768105e-05,-1.060699e-04
1403713570346603,1403713570284102,3.812655e-01,-4.578647e-03,-1.924048e-02,-1.060098e-03,-1.551710e-03,-4.079542e-04
1403713570409105,1403713570346603,3.865197e-01,-5.740750e-03,-1.888520e-02,-1.339567e-03,-6.012142e-04,-5.286896e-04
1403713570471604,1403713570409105,3.880509e-01,-3.221258e-03,-2.034846e-02,1.232586e-04,1.594909e-04,-4.213448e-04
1403713570534104,1403713570471604,3.835167e-01,-2.065295e-03,-2.026326e-02,-6.338590e-05,-8.784814e-05,-2.680939e-04
1403713570596605,1403713570534104,3.717433e-01,-5.789613e-03,-2.448056e-02,-2.408826e-03,1.326112e-03,3.802534e-06
1403713570659106,1403713570596605,3.705937e-01,-2.297038e-03,-2.401442e-02,-8.519413e-04,1.915460e-03,-3.023530e-04
1403713570721605,1403713570659106,3.808096e-01,-1.945928e-03,-2.094430e-02,-4.428760e-04,1.697519e-03,-5.614269e-04
1403713570784107,1403713570721605,3.808292e-01,-2.612359e-03,-2.076197e-02,1.114347e-03,2.793528e-03,-4.938150e-04
1403713570846609,1403713570784107,3.763698e-01,-6.599109e-04,-1.945617e-02,8.404360e-04,1.790397e-03,-2.477022e-04
1403713570909113,1403713570846609,3.697081e-01,-4.836202e-04,-1.875644e-02,9.311584e-04,2.857586e-04,-3.251927e-04
1403713570971611,1403713570909113,3.707244e-01,-2.631910e-03,-1.866413e-02,1.275648e-04,4.430866e-04,-4.707050e-04
1403713571034111,1403713570971611,3.658328e-01,-2.766963e-03,-1.945694e-02,-9.740029e-05,-3.097093e-04,-3.748828e-04
1403713571096613,1403713571034111,3.706017e-01,-6.118077e-03,-1.923357e-02,-5.731981e-04,-1.464816e-03,-1.992536e-04
1403713571159112,1403713571096613,3.664464e-01,-4.964961e-03,-2.070853e-02,-2.089167e-03,-1.523410e-03,-2.669719e-04
1403713571221612,1403713571159112,3.719342e-01,-1.983967e-03,-1.988423e-02,-1.304790e-03,-1.102273e-03,-5.631796e-04
1403713571284113,1403713571221612,3.653234e-01,-3.524680e-03,-2.214292e-02,2.996671e-04,-8.239815e-04,-5.822891e-04
1403713571346613,1403713571284113,3.662131e-01,-2.181484e-03,-2.202487e-02,4.434767e-05,2.022667e-04,-6.432111e-04
1403713571409116,1403713571346613,3.643159e-01,-2.649613e-03,-2.137109e-02,6.961283e-05,1.765583e-04,-4.751680e-04
1403713571471618,1403713571409116,3.628601e-01,-1.237673e-04,-2.058649e-02,5.816139e-04,2.712740e-04,-5.407985e-04
1403713571534119,1403713571471618,3.580190e-01,-2.044630e-03,-2.252339e-02,1.219461e-04,5.807102e-04,-2.681355e-04
1403713571596617,1403713571534119,3.571724e-01,-4.301097e-03,-2.129326e-02,-1.372039e-03,4.803059e-04,7.423261e-05
1403713571659119,1403713571596617,3.614557e-01,-5.009201e-03,-1.824080e-02,-1.693734e-03,2.938324e-05,6.422192e-05
1403713571721619,1403713571659119,3.638638e-01,-4.349176e-03,-1.670047e-02,-6.834124e-04,-3.893259e-04,-1.239968e-04
1403713571784124,1403713571721619,3.573766e-01,-4.205544e-03,-2.028924e-02,-7.714569e-04,-7.996020e-04,-2.154721e-04
1403713571846623,1403713571784124,3.547907e-01,-3.231722e-03,-2.023946e-02,-1.322313e-03,-5.087351e-04,-2.248740e-04
1403713571909125,1403713571846623,3.571265e-01,-3.578078e-03,-2.059840e-02,-1.148200e-03,7.476070e-05,-1.607959e-04
1403713571971626,1403713571909125,3.558651e-01,-2.632970e-03,-1.953194e-02,-6.147967e-04,-6.242868e-04,-2.085248e-04
1403713572034127,1403713571971626,3.565990e-01,-4.055523e-03,-1.844345e-02,-1.797191e-03,-1.746378e-03,-2.733775e-04
1403713572096628,1403713572034127,3.538090e-01,-5.417925e-03,-1.913656e-02,-2.274760e-03,-1.594342e-03,-1.737143e-04
